source,target,type
7,0,PRODUCED
7,9,PRODUCED
7,10,PRODUCED
45,37,PRODUCED
27,81,PRODUCED
72,81,PRODUCED
110,105,PRODUCED
5,116,PRODUCED
6,116,PRODUCED
7,116,PRODUCED
7,121,PRODUCED
5,128,PRODUCED
6,128,PRODUCED
7,128,PRODUCED
156,154,PRODUCED
